Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
6162,004180607000007043000050000700039000600000001000520009000010000210800000506074100,0.8078,6637,6582,0,7.3678,1575,2215,0,1.0554,255,218,0
6163,000710000006203007003005008100030009004080700700040005400800500200301800000074000,0.0243,279,225,0,0.4339,107,84,0,0.5471,147,98,0
6164,078040930006000700902000408050409080200060007809702304000080000300506009090000070,0.1262,1250,1200,0,2.3855,521,708,0,0.3530,92,44,0
6165,050000080100090004046020790008060100001000500090080060000759000003608900900102006,0.4123,3656,3604,0,2.8948,636,912,0,1.0066,277,242,0
6166,040032000200000010017008500800910050006000100090024008009500830080000005000860040,0.6876,6240,6187,0,10.9821,2343,3320,0,1.2831,320,291,0
6167,070040090981305064000900030030000840700000006069000070090007000810506427050020010,0.0615,564,515,0,0.2897,76,47,0,0.2841,90,43,0
6168,000000809870200004600070000308007000010000020000400503000090005700004031901000000,5.1806,44582,44525,0,36.4759,7428,11660,0,4.7366,1147,1176,0
6169,000060000040809010003000400000903000805602704004080300300401007090000040407000105,0.9973,9753,9700,0,7.6918,1680,2474,0,0.6175,179,139,0
6170,000608000076030290050090030000060000103000406007503900060080010300000004204000709,0.4104,3645,3592,0,5.7685,1317,1800,0,0.8248,218,177,0
6171,000700000756030098008009300900000600030060050007000004009200700680090145000004000,4.8709,42392,42338,0,31.6859,6583,9974,0,1.0570,276,243,0
6172,008060030050400620009000004900740060007010400030096008500000900083009040090030200,1.3062,11874,11822,0,16.7999,3790,5184,0,2.8785,714,730,0
6173,300080070005160800007000002001600085000901000450003200900000600002094100010020004,0.0407,443,390,0,0.9602,219,222,0,0.1775,53,0,0
6174,708050203001000500200109007983000174000798000000000000002000900300000001800407002,0.6129,4681,4628,0,7.0557,1545,2158,0,1.0278,244,213,0
6175,003016800090502060700000003180000030300000008040000072200000004030401020008250300,1.6865,13224,13171,0,13.9120,3284,4771,0,1.0849,268,236,0
6176,962004000370000090001020600100003000000689000000700004009070300050000061000200879,1.2419,10703,10649,0,4.3342,914,1324,0,0.2274,65,13,0
6177,002000007400609020060002040006900000500873002000004800010300080040107009800000300,0.1948,1892,1838,0,3.9752,839,1072,0,1.5030,345,316,0
6178,090000600045002098800500070030040200000205000004080060080003006310700850007000040,1.7112,14966,14913,0,18.7448,4004,5852,0,1.0883,278,242,0
6179,200070009000204000000030000040502030620000054007000100008903700000000000705108602,3.9827,43691,43636,0,57.5797,12181,17111,0,0.3309,93,44,0
6180,040200900010000083500807000008050604000602000306080200000106009190000020002009050,0.1425,1249,1196,0,1.3518,308,371,0,0.5637,146,103,0
6181,600001009009060300027080540300804000064010930000609004051090260003040100900100003,0.0994,932,884,0,1.7772,427,521,0,0.1514,48,0,0
6182,000138000600004500000500034750000620001000700026000053130002000005400006000951000,0.5041,4477,4424,0,3.5243,757,1032,0,1.4042,369,338,0
6183,000602000000175000005803900010000030020409060007000100048020510600000002700000008,1.3794,13778,13723,0,7.5887,1569,2210,0,0.2618,70,16,0
6184,005400300010900020908000406000030047000502000150040000704000103080004050009006700,0.0222,253,200,0,0.4465,104,90,0,0.1742,53,0,0
6185,008010000290800000047509000000005300650000082004300000000702410000004079000030500,2.6831,24199,24144,0,21.4758,4411,6946,0,1.2395,317,278,0
6186,100983007080205090000000000004000200008090600200604008090000010800070005007050400,3.7883,34006,33951,0,31.9814,6355,10256,0,1.7941,444,414,0
6187,000000000103608209008020400070030050800040006090080040000000000080405090060973020,0.7515,7917,7863,0,6.0401,1318,1922,0,0.9803,241,205,0
6188,000018000009500300015004860503000080900030006020000503062100950007006100000240000,0.1414,1336,1284,0,2.2579,486,633,0,1.5387,366,340,0
6189,000194000200000004009000500020000080010060020980000071800215007700030006030000040,1.5029,13889,13834,0,8.5068,1755,2671,0,0.5934,150,104,0
6190,804000000000005030900004007307008090001040700040700203400300006010900000000000102,1.8154,16729,16673,0,28.8496,6067,8181,0,5.0261,1180,1246,0
6191,008020107000040250062000008000150030005203400030094000100000980096030000503010600,0.1945,1821,1770,0,2.9829,658,915,0,0.6463,168,128,0
6192,007000300005040600060302070093605740070010020000000000008107500050080060000000000,0.5425,5193,5137,0,10.3829,2143,2852,0,1.6131,362,330,0
6193,000020805570100000800007009008003060602090107040700900400500003000001028207040000,0.3712,3840,3788,0,4.3678,947,1262,0,0.2051,66,15,0
6194,010902050000415000050000060108000604000000000026080130800126009200000003001000800,0.6371,5448,5394,0,2.3464,481,693,0,1.8811,482,463,0
6195,000014069400250001000000050074060005509000103100090470030000000600081002940570000,0.5534,4662,4611,0,0.3629,90,61,0,0.6055,159,115,0
6196,049000010300040002060700000008009004004030100600200800000006070200070005050000640,1.1302,10829,10773,0,20.7123,4251,5987,0,3.1494,747,750,0
6197,006301500000724000100000002060000090800040005020000010400080009080000030500902004,0.3301,2808,2752,0,3.3178,727,1036,0,0.2898,76,23,0
6198,900000002040000050206050708000090000800000003000863000500020004020305060090476020,44.8008,395597,395543,0,200.1059,42991,68194,0,0.9016,249,216,0
6199,000000540410680320720004000002070010080405070040010600000300056036041092098000000,0.2271,1991,1942,0,2.6950,627,832,0,0.6096,179,137,0
6200,094301860080000090000807000078000320300080009610030078000000000000416000460000087,0.4306,3874,3822,0,3.3210,706,947,0,0.9957,237,201,0
6201,000600030703004500056903740037000908000070000901000470015802690008700104070001000,0.2975,2564,2516,0,3.1359,727,1017,0,2.5543,682,690,0
6202,008010050300704000007600109070000960500000008042000070705003600000509007020070500,0.1188,931,878,0,1.7923,457,526,0,0.4837,133,86,0
6203,400000503000500000036070904050080000900103005000050010807020450000008000204000009,2.8735,26109,26054,0,15.5854,3143,4923,0,0.6411,160,118,0
6204,007010000908500003000007804186000700000000000002000651201700000800009105000020400,13.0731,110344,110289,0,33.8915,6843,11917,0,4.6019,1100,1155,0
6205,040070020700409005003000400000204000500306001060080030608000903007000600000010000,2.5970,23365,23309,0,44.4183,8957,13088,0,0.7074,175,126,0
6206,410003900000040003305000020053001000080000090000700340030000807800060000006500032,5.5019,49839,49784,0,58.5456,12043,18341,0,5.9415,1362,1460,0
6207,000000000704000305260030081000825000007000800300070006040183090000000000008204500,3.2679,30903,30848,0,19.6765,4104,5993,0,0.6518,157,115,0
6208,000100008903004500008000390400800700080000060009001005031000400004200109700003000,1.7431,14924,14869,0,18.3438,3856,5450,0,1.9962,477,452,0
6209,051960700000001008700400009060304201500000006203706040100002003400100000008047150,0.0083,90,41,0,0.1941,51,10,0,0.1524,49,0,0
6210,000000000700204001410070032200030005037000810109050203000020000005000400300645007,2.4568,22859,22807,0,26.6478,5934,8677,0,0.2359,66,15,0
6211,000000400070150036500020008107500800000040000002006301400070009750038040009000000,0.4164,3618,3564,0,1.2387,260,314,0,0.2669,78,25,0
6212,005010600980000054400000001300107006090000010106040807500389002000704000000050000,0.1547,1381,1328,0,1.8364,388,515,0,0.4262,107,57,0
6213,000000000100567009050010080060000070400000002008402100500934008040000030002105700,0.7334,6940,6886,0,9.2103,1988,2661,0,1.6143,442,419,0
6214,801000602950000078000000000410050026006000300500000009008672500090305040000109000,3.6505,32514,32461,0,31.9201,6905,9541,0,0.5497,140,97,0
6215,002005090800040500010700002900050200070802010001060008600004020003020005020500400,0.6205,5694,5641,0,12.5438,2819,3777,0,1.3723,343,309,0
